FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,DifferenceTotal,VotesTotal2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,PercentageDemocratOrRepublican,OnlyRepublicanPERCENTAGE2016,OnlyDemocratPERCENTAGE2016,VotesONLYRepublican2016,VotesONLYDDemocratic2016,,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
47181,"Angelina County, Texas",31.287916,-94.67054,TX,County,Central-S,7538,21668,14130,29911.00,25,72,0,72,0.72,0,14130,0,,27429,0.42,0.02,0.01,0.45,0.12,0.13,9.9,1501,0.28,66878
47183,"Aransas County, Texas",28.047744,-97.04818,TX,County,Central-S,2465,7740,5275,10512.00,23,74,0,74,0.74,0,5275,0,,20982,0.47,0.16,0.01,0.21,0.08,0.19,108.7,798,0.38,42128
47185,"Archer County, Texas",33.651259,-98.69419,TX,County,Central-S,394,3786,3392,4283.00,9,88,0,88,0.88,0,3392,0,,26953,0.54,0.02,0.02,0.24,0.05,0.2,91.9,252,0.27,44551
47187,"Armstrong County, Texas",35.006834,-101.37112,TX,County,Central-S,70,924,854,1020.00,7,91,0,91,0.91,0,854,0,,27800,0.52,0.01,0,0.09,0.04,0.11,10,903,0.27,58867
47189,"Atascosa County, Texas",28.927933,-98.52937,TX,County,Central-S,4651,8618,3967,13672.00,34,63,0,63,0.63,0,3967,0,,26823,0.64,0.01,0,0.09,0.04,0.11,2.1,909,0.27,55177
48001,"Austin County, Texas",29.853909,-96.23944,TX,County,Central-S,2320,9637,7317,12274.00,19,79,0,79,0.79,0,7317,0,,20193,0.39,0.01,0.01,0.59,0.06,0.16,36.8,1220,0.28,52785
48003,"Bailey County, Texas",34.110864,-102.81679,TX,County,Central-S,397,1344,947,1790.00,22,75,0,75,0.75,0,947,0,,25884,0.52,0.1,0,0.25,0.1,0.1,43.9,647,0.27,58792
48005,"Bandera County, Texas",29.722297,-99.11792,TX,County,Central-S,1726,8163,6437,10218.00,17,80,0,80,0.8,0,6437,0,,18676,0.34,0.02,0.01,0.63,0.23,0.13,8.7,827,0.27,36821
48007,"Bastrop County, Texas",30.125929,-97.29563,TX,County,Central-S,10569,16328,5759,28447.00,37,57,0,57,0.57,0,5759,0,,25364,0.58,0.01,0,0.17,0.04,0.15,25.9,791,0.27,50107
48009,"Baylor County, Texas",33.605154,-99.25392,TX,County,Central-S,191,1267,1076,1499.00,13,85,0,85,0.85,0,1076,0,,23342,0.49,0.08,0.01,0.32,0.11,0.17,83.5,888,0.33,52886
