FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,VotesTotal2016,DifferenceVotes2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
54025,"Bayfield County, Wisconsin",46.535832,-91.1953,WI,County,Central-N,"4,953","4,124","9,527",-829,0.52,0.43,1,,23337,0.48,0.01,0.01,0.02,0.02,0.13,53.2,863,0.32,46375
54027,"Brown County, Wisconsin",44.493492,-88.03276,WI,County,Central-N,"53,382","67,210","127,858","13,828",0.42,0.53,0,,25377,0.63,0.01,0,0.01,0.02,0.14,10.2,1478,0.29,44395
54029,"Buffalo County, Wisconsin",44.37662,-91.75309,WI,County,Central-N,"2,525","4,048","6,927","1,523",0.37,0.58,0,,27787,0.59,0.02,0.03,0.08,0.05,0.12,467.9,530,0.28,54141
54031,"Burnett County, Wisconsin",45.866346,-92.35618,WI,County,Central-N,"2,949","5,410","8,738","2,461",0.34,0.62,0,,24500,0.48,0,0,0.02,0.01,0.12,20.2,672,0.32,50998
54033,"Calumet County, Wisconsin",44.111956,-88.21182,WI,County,Central-N,"9,642","15,367","26,595","5,725",0.36,0.58,0,,22843,0.5,0.01,0,0.02,0.02,0.17,18.8,822,0.29,41810
54035,"Chippewa County, Wisconsin",45.020061,-91.32478,WI,County,Central-N,"11,887","17,916","31,564","6,029",0.38,0.57,0,,28907,0.58,0.01,0.02,0.04,0.03,0.06,154,318,0.31,68430
54037,"Clark County, Wisconsin",44.755235,-90.58796,WI,County,Central-N,"4,221","8,652","13,607","4,431",0.31,0.64,0,,24628,0.53,0.01,0.01,0.01,0.01,0.11,61.9,1008,0.3,52485
54039,"Columbia County, Wisconsin",43.459182,-89.34414,WI,County,Central-N,"13,528","14,163","29,407",635,0.46,0.48,0,,20754,0.38,0,0.01,0.04,0.03,0.15,28.7,1210,0.34,45316
54041,"Crawford County, Wisconsin",43.197216,-90.98187,WI,County,Central-N,"3,419","3,836","7,685",417,0.45,0.5,0,,28273,0.57,0.01,0.01,0.03,0.02,0.09,74.2,766,0.35,59020
54043,"Dane County, Wisconsin",43.071496,-89.39366,WI,County,Central-N,"217,697","71,275","305,931","-146,422",0.71,0.23,1,,22549,0.47,0.02,0,0.01,0.01,0.13,29.1,571,0.33,43562
54045,"Dodge County, Wisconsin",43.41441,-88.70503,WI,County,Central-N,"13,968","26,635","43,078","12,667",0.32,0.62,0,,33712,0.75,0.05,0.05,0.06,0.08,0.13,407.7,1197,0.24,61937
54047,"Door County, Wisconsin",44.96633,-87.29078,WI,County,Central-N,"8,014","8,580","17,443",566,0.46,0.49,0,,24573,0.48,0.03,0.01,0.04,0.02,0.09,101.3,876,0.32,54359
54049,"Douglas County, Wisconsin",46.525017,-91.93912,WI,County,Central-N,"11,357","9,661","22,261","-1,696",0.51,0.43,1,,30657,0.6,0.01,0.01,0.03,0.02,0.1,57.6,482,0.28,49717
54051,"Dunn County, Wisconsin",44.948027,-91.89789,WI,County,Central-N,"9,034","11,486","22,106","2,452",0.41,0.52,0,,25129,0.61,0.01,0.01,0.01,0.01,0.15,33.9,1304,0.32,46475
54053,"Eau Claire County, Wisconsin",44.775914,-91.41389,WI,County,Central-N,"27,340","23,331","54,449","-4,009",0.5,0.43,1,,22499,0.57,0.01,0.03,0.02,0.02,0.16,51.6,850,0.32,52224
54055,"Florence County, Wisconsin",45.841508,-88.36415,WI,County,Central-N,665,"1,898","2,656","1,233",0.25,0.71,0,,25287,0.66,0.01,0.03,0.02,0.03,0.16,154.8,638,0.29,48102
54057,"Fond du Lac County, Wisconsin",43.755387,-88.492,WI,County,Central-N,"17,387","31,022","51,333","13,635",0.34,0.6,0,,22434,0.5,0,0,0.01,0,0.14,9.1,488,0.32,44562
54059,"Forest County, Wisconsin",45.604373,-88.77048,WI,County,Central-N,"1,579","2,787","4,519","1,208",0.35,0.62,0,,26368,0.52,0.01,0.01,0.05,0.03,0.1,141.2,720,0.3,52149
54061,"Grant County, Wisconsin",42.876486,-90.66733,WI,County,Central-N,"10,051","12,350","24,103","2,299",0.42,0.51,0,,20462,0.45,0.01,0,0.02,0.01,0.17,9.2,1014,0.35,41418
54063,"Green County, Wisconsin",42.653242,-89.57604,WI,County,Central-N,"9,122","8,693","18,841",-429,0.48,0.46,1,,21705,0.52,0.01,0.01,0.01,0.01,0.17,44.6,1147,0.32,46972
54065,"Green Lake County, Wisconsin",43.817523,-89.0311,WI,County,Central-N,"2,693","6,216","9,358","3,523",0.29,0.66,0,,27060,0.53,0.01,0.01,0.03,0.03,0.1,63.1,584,0.31,53328
54067,"Iowa County, Wisconsin",42.988762,-90.13808,WI,County,Central-N,"6,669","4,809","12,146","-1,860",0.55,0.4,1,,25275,0.45,0.01,0.01,0.05,0.02,0.12,54.6,349,0.35,51175
54069,"Iron County, Wisconsin",46.283595,-90.2039,WI,County,Central-N,"1,275","2,081","3,480",806,0.37,0.6,0,,26625,0.57,0,0.01,0.02,0.01,0.1,31,763,0.32,58419
54071,"Jackson County, Wisconsin",44.328224,-90.86159,WI,County,Central-N,"3,818","4,906","9,220","1,088",0.41,0.53,0,,23324,0.56,0,0,0.01,0.01,0.16,7.8,758,0.29,39408
54073,"Jefferson County, Wisconsin",43.043142,-88.78367,WI,County,Central-N,"16,569","23,417","42,665","6,848",0.39,0.55,0,,21849,0.44,0.02,0,0.03,0.01,0.17,20.7,988,0.33,47985
54075,"Juneau County, Wisconsin",43.89526,-90.11177,WI,County,Central-N,"4,073","7,130","11,663","3,057",0.35,0.61,0,,25625,0.55,0.01,0.01,0.07,0.04,0.11,150.5,556,0.29,56365
54077,"Kenosha County, Wisconsin",42.568669,-87.95243,WI,County,Central-N,"35,799","36,037","76,303",238,0.47,0.47,0,,23343,0.43,0.02,0.01,0.03,0.02,0.14,34.8,767,0.36,45158
